,Name,Author,Abstract,Download link
0,Copying Machine Learning Classifiers,"['Irene Unceta', 'Jordi Nin', 'Oriol Pujol']","We study model-agnostic copies of machine learning classifiers. We develop the theory behind the problem of copying, highlighting its differences with that of learning, and propose a framework to copy the functionality of any classifier using no prior knowledge of its parameters or training data distribution. We identify the different sources of loss and provide guidelines on how best to generate synthetic sets for the copying process. We further introduce a set of metrics to evaluate copies in practice. We validate our framework through extensive experiments using data from a series of well-known problems. We demonstrate the value of copies in use cases where desiderata such as interpretability, fairness or productivization constrains need to be addressed. Results show that copies can be exploited to enhance existing solutions and improve them adding new features and characteristics.
        ? Less",https://arxiv.org/pdf/1903.01879
1,Extreme Learning Machine-Based Receiver for MIMO LED Communications,"['Dawei Gao', 'Qinghua Guo']","This work concerns receiver design for light-emitting diode (LED) multiple input multiple output (MIMO) communications where the LED nonlinearity can severely degrade the performance of communications. In this paper, we propose an extreme learning machine (ELM) based receiver to jointly handle the LED nonlinearity and cross-LED interference, and a circulant input weight matrix is employed, which significantly reduces the complexity of the receiver with the fast Fourier transform (FFT). It is demonstrated that the proposed receiver can efficiently handle the LED nonlinearity and cross-LED interference.
        ? Less",https://arxiv.org/pdf/1903.01551
2,A Machine Learning-Based Detection Technique for Optical Fiber Nonlinearity Mitigation,"['Abdelkerim Amari', 'Xiang Lin', 'Octavia A. Dobre', 'Ramachandran Venkatesan', 'Alex Alvarado']","We investigate the performance of a machine learning classification technique, called the Parzen window, to mitigate the fiber nonlinearity in the context of dispersion managed and dispersion unmanaged systems. The technique is applied for detection at the receiver side, and deals with the non-Gaussian nonlinear effects by designing improved decision boundaries. We also propose a two-stage mitigation technique using digital back propagation and Parzen window for dispersion unmanaged systems. In this case, digital back propagation compensates for the deterministic nonlinearity and the Parzen window deals with the stochastic nonlinear signal-noise interactions, which are not taken into account by digital back propagation. A performance improvement up to 0:4 dB in terms of Q factor is observed.
        ? Less",https://arxiv.org/pdf/1903.01549
3,A Machine Learning Artificial Neural Network Calibration of the Strong-Line Oxygen Abundance,['I-Ting Ho'],"The HII region oxygen abundance is a key observable for studying chemical properties of galaxies. Deriving oxygen abundances using optical spectra often relies on empirical strong-line calibrations calibrated to the direct method. Existing calibrations usually adopt linear or polynomial functions to describe the non-linear relationships between strong line ratios and Te oxygen abundances. Here, I explore the possibility of using an artificial neural network model to construct a non-linear strong-line calibration. Using about 950 literature HII region spectra with auroral line detections, I build multi-layer perceptron models under the machine learning framework of training and testing. I show that complex models, like the neural network, are preferred at the current sample size and can better predict oxygen abundance than simple linear models. I demonstrate that the new calibration can reproduce metallicity gradients in nearby galaxies and the mass-metallicity relationship. Finally, I discuss the prospects of developing new neural network calibrations using forthcoming large samples of HII region and also the challenges faced.
        ? Less",https://arxiv.org/pdf/1903.01506
4,Traditional Machine Learning for Pitch Detection,"['Thomas Drugman', 'Goeric Huybrechts', 'Viacheslav Klimkov', 'Alexis Moinet']","Pitch detection is a fundamental problem in speech processing as F0 is used in a large number of applications. Recent articles have proposed deep learning for robust pitch tracking. In this paper, we consider voicing detection as a classification problem and F0 contour estimation as a regression problem. For both tasks, acoustic features from multiple domains and traditional machine learning methods are used. The discrimination power of existing and proposed features is assessed through mutual information. Multiple supervised and unsupervised approaches are compared. A significant relative reduction of voicing errors over the best baseline is obtained: 20% with the best clustering method (K-means) and 45% with a Multi-Layer Perceptron. For F0 contour estimation, the benefits of regression techniques are limited though. We investigate whether those objective gains translate in a parametric synthesis task. Clear perceptual preferences are observed for the proposed approach over two widely-used baselines (RAPT and DIO).
        ? Less",https://arxiv.org/pdf/1903.01290
5,Reconstruction of Hydraulic Data by Machine Learning,"['Corentin J. Lapeyre', 'Nicolas Cazard', 'Pamphile T. Roy', 'Sophie Ricci', 'Fabrice Zaoui']","Numerical simulation models associated with hydraulic engineering take a wide array of data into account to produce predictions: rainfall contribution to the drainage basin (characterized by soil nature, infiltration capacity and moisture), current water height in the river, topography, nature and geometry of the river bed, etc. This data is tainted with uncertainties related to an imperfect knowledge of the field, measurement errors on the physical parameters calibrating the equations of physics, an approximation of the latter, etc. These uncertainties can lead the model to overestimate or underestimate the flow and height of the river. Moreover, complex assimilation models often require numerous evaluations of physical solvers to evaluate these uncertainties, limiting their use for some real-time operational applications. In this study, we explore the possibility of building a predictor for river height at an observation point based on drainage basin time series data. An array of data-driven techniques is assessed for this task, including statistical models, machine learning techniques and deep neural network approaches. These are assessed on several metrics, offering an overview of the possibilities related to hydraulic time-series. An important finding is that for the same hydraulic quantity, the best predictors vary depending on whether the data is produced using a physical model or real observations.
        ? Less",https://arxiv.org/pdf/1903.01123
6,Wall effects of eccentric spheres machine learning for convenient computation,"['Lachlan J. Gibson', 'Shu Zhang', 'Alexander B. Stilgoe', 'Timo A. Nieminen', 'Halina Rubinsztein-Dunlop']","In confined systems, such as the inside of a biological cell, the outer boundary or wall can affect the dynamics of internal particles. In many cases of interest both the internal particle and outer wall are approximately spherical. Therefore, quantifying the wall effects from an outer spherical boundary on the motion of an internal eccentric sphere is very useful. However, when the two spheres are not concentric, the problem becomes non-trivial. In this paper we improve existing analytical methods to evaluate these wall effects and then train a feed-forward artificial neural network within a broader model. The final model generally performed with \sim 0.001\%\sim 0.001\% error within the training domain and \sim 0.05\%\sim 0.05\% when the outer spherical wall was extrapolated to an infinite plane. Through this model, the wall effects of an outer spherical boundary on the arbitrary motion of an internal sphere for all experimentally achievable configurations can now be conveniently and efficiently determined.
        ? Less",https://arxiv.org/pdf/1903.01040
7,Machine Learning Holographic Mapping by Neural Network Renormalization Group,"['Hong-Ye Hu', 'Shuo-Hui Li', 'Lei Wang', 'Yi-Zhuang You']","We develop the neural network renormalization group as a model-independent approach to design general forms of exact holographic mapping (EHM) for interacting field theories. The EHM constitutes a bijection that maps a conformal field theory (CFT) on the holographic boundary to a gapped field theory in the holographic bulk, aiming to reduce the mutual information in the bulk filed. We design a flow-based hierarchical deep generative neural network as a variational realization of the EHM. Given the CFT action, we first train the neural network to find the optimal EHM by assuming the bulk field as independent random variables. We then use the trained EHM to map the CFT back to a bulk effective action, from which the holographic bulk geometry can be measured from the residual mutual information in the bulk field. We apply this approach to the complex ?^4?^4 theory in two-dimensional Euclidian spacetime, and show that the holographic bulk matches the three-dimensional hyperbolic geometry.
        ? Less",https://arxiv.org/pdf/1903.00804
8,A unifying representer theorem for inverse problems and machine learning,['Michael Unser'],"The standard approach for dealing with the ill-posedness of the training problem in machine learning and/or the reconstruction of a signal from a limited number of measurements is regularization. The method is applicable whenever the problem is formulated as an optimization task. The standard strategy consists in augmenting the original cost functional by an energy that penalizes solutions with undesirable behavior. The effect of regularization is very well understood when the penalty involves a Hilbertian norm. Another popular configuration is the use of an \ell_1\ell_1-norm (or some variant thereof) that favors sparse solutions. In this paper, we propose a higher-level formulation of regularization within the context of Banach spaces. We present a general representer theorem that characterizes the solutions of a remarkably broad class of optimization problems. We then use our theorem to retrieve a number of known results in the literature---e.g., the celebrated representer theorem of machine leaning for RKHS, Tikhonov regularization, representer theorems for sparsity promoting functionals, the recovery of spikes---as well as a few new ones.
        ? Less",https://arxiv.org/pdf/1903.00687
9,Single-Component Order Parameter in URu_2_2Si_2_2 Uncovered by Resonant Ultrasound Spectroscopy and Machine Learning,"['Sayak Ghosh', 'Michael Matty', 'Ryan Baumbach', 'Eric D. Bauer', 'K. A. Modic', 'Arkady Shekhter', 'J. A. Mydosh', 'Eun-Ah Kim', 'B. J. Ramshaw']","URu_2_2Si_2_2 exhibits a clear phase transition at T_{HO}= 17.5~_{HO}= 17.5~K to a low-temperature phase known as ""hidden order"" (HO). Even the most basic information needed to construct a theory of this state---such as the number of components in the order parameter---has been lacking. Here we use resonant ultrasound spectroscopy (RUS) and machine learning to determine that the order parameter of HO is one-dimensional (singlet), ruling out a large class of theories based on two-dimensional (doublet) order parameters. This strict constraint is independent of any microscopic mechanism, and independent of other symmetries that HO may break. Our technique is general for second-order phase transitions, and can discriminate between nematic (singlet) versus loop current (doublet) order in the high-\Tc cuprates, and conventional (singlet) versus the proposed p_x+ip_yp_x+ip_y (doublet) superconductivity in Sr_2_2RuO_4_4. The machine learning framework we develop should be readily adaptable to other spectroscopic techniques where missing resonances confound traditional analysis, such as NMR.
        ? Less",https://arxiv.org/pdf/1903.00552
