,Name,Author,Abstract,Download link
0,Transient Stability Assessment of Power Systems Based on Local Learning Machine and Bacterial Colony Chemotaxis Algorithm,"['Xueping Gu', 'Yang Li']","In order to improve the classification accuracy of transient stability assessment of power systems, a novel method based on local learning machine and an improved bacterial colony chemotaxis (BCC) algorithm is proposed, where local learning machine(LLM) is used to build a TSA model. Considering the possible real-time information provided by PMU, a group of system-level classification features extracted from the power system operation parameters are employed as inputs, and the stability result is used as output of the LLM model. The relation ship between input and output is trained and the ideal model is obtained by applying the improved BCC combined with chaotic search strategy to determine the optimal parameters of LLM automatically. The effectiveness of the proposed method is shown by the simulation results on the New England 10-unit-39-bus power system.
        ? Less",https://arxiv.org/pdf/1901.08909
1,Approximating power of machine-learning ansatz for quantum many-body states,"['Artem Borin', 'Dmitry A. Abanin']","An artificial neural network (ANN) with the restricted Boltzmann machine (RBM) architecture was recently proposed as a versatile variational quantum many-body wave function. In this work we provide physical insights into the performance of this ansatz. We uncover the connection between the structure of RBM and perturbation series, which explains the excellent precision achieved by RBM ansazt in certain simple models, demonstrated in the literature. Based on this relation, we improve the numerical algorithm to achieve better performance of RBM in cases where local minima complicate the convergence to the global one. We introduce other classes of variational wave-functions, which are also capable of reproducing the perturbative structure, and show that their performance is comparable to that of RBM. Furthermore, we study the performance of a few-layer RBM for approximating ground states of random, translationally-invariant models in 1d, as well as random matrix-product states (MPS). We find that the error in approximating such states exhibits a broad distribution, and is largely determined by the entanglement properties of the targeted state.
        ? Less",https://arxiv.org/pdf/1901.08615
2,When Machine Learning Meets Big Data: A Wireless Communication Perspective,"['Yuanwei Liu', 'Suzhi Bi', 'Zhiyuan Shi', 'Lajos Hanzo']","We have witnessed an exponential growth in commercial data services, which has lead to the big data's era. Machine learning, as one of the most promising artificial intelligence tools of analyzing the deluge of data, has been invoked in many research areas both in academia and industry. The aim of this article is twin-fold. Firstly, we review big data analysis and machine learning, along with their potential applications in wireless networks. The second goal is to invoke big data analysis to predict the requirements of mobile users and to exploit it for improving the performance of wireless networks. More particularly, a unified big data aided machine learning framework is proposed, which consists of feature extraction, data modeling and prediction/online refinement. The main benefits of the proposed framework are that by relying on big data which reflects the real requirements of users, we can refine the motivation, problem formulations, and methodology of powerful machine learning algorithms in the context of wireless networks. To characterize the efficiency of the proposed framework, a pair of practical case studies are provided: 1) To predict the positioning of drone-mounted areal base stations (BSs) deployments according to specific tele-traffic requirements. 2) To predict the content caching requirements of BSs according to the users' preferences. Finally, open research opportunities are identified for motivating future investigations.
        ? Less",https://arxiv.org/pdf/1901.08329
3,Machine Learning and Deep Learning Algorithms for Bearing Fault Diagnostics - A Comprehensive Review,"['Shen Zhang', 'Shibo Zhang', 'Bingnan Wang', 'Thomas G. Habetler']","In this survey paper, we systematically summarize the current literature on studies that apply machine learning (ML) and data mining techniques to bearing fault diagnostics. Conventional ML methods, including artificial neural network (ANN), principal component analysis (PCA), support vector machines (SVM), etc., have been successfully applied to detecting and categorizing bearing faults since the last decade, while the application of deep learning (DL) methods has sparked great interest in both the industry and academia in the last five years. In this paper, we will first review the conventional ML methods, before taking a deep dive into the latest developments in DL algorithms for bearing fault applications. Specifically, the superiority of the DL based methods over the conventional ML methods are analyzed in terms of metrics directly related to fault feature extraction and classifier performances; the new functionalities offered by DL techniques that cannot be accomplished before are also summarized. In addition, to obtain a more intuitive insight, a comparative study is performed on the classifier performance and accuracy for a number of papers utilizing the open source Case Western Reserve University (CWRU) bearing data set. Finally, based on the nature of the time-series 1-D data obtained from sensors monitoring the bearing conditions, recommendations and suggestions are provided to applying DL algorithms on bearing fault diagnostics based on specific applications, as well as future research directions to further improve its performance.
        ? Less",https://arxiv.org/pdf/1901.08247
4,PD-ML-Lite: Private Distributed Machine Learning from Lighweight Cryptography,"['Maksim Tsikhanovich', 'Malik Magdon-Ismail', 'Muhammad Ishaq', 'Vassilis Zikas']","Privacy is a major issue in learning from distributed data. Recently the cryptographic literature has provided several tools for this task. However, these tools either reduce the quality/accuracy of the learning algorithm---e.g., by adding noise---or they incur a high performance penalty and/or involve trusting external authorities.
  We propose a methodology for {\sl private distributed machine learning from light-weight cryptography} (in short, PD-ML-Lite). We apply our methodology to two major ML algorithms, namely non-negative matrix factorization (NMF) and singular value decomposition (SVD). Our resulting protocols are communication optimal, achieve the same accuracy as their non-private counterparts, and satisfy a notion of privacy---which we define---that is both intuitive and measurable. Our approach is to use lightweight cryptographic protocols (secure sum and normalized secure sum) to build learning algorithms rather than wrap complex learning algorithms in a heavy-cost MPC framework.
  We showcase our algorithms' utility and privacy on several applications: for NMF we consider topic modeling and recommender systems, and for SVD, principal component regression, and low rank approximation.
        ? Less",https://arxiv.org/pdf/1901.07986
5,Machine Learning for Wireless Communications in the Internet of Things: A Comprehensive Survey,"['Jithin Jagannath', 'Nicholas Polosky', 'Anu Jagannath', 'Francesco Restuccia', 'Tommaso Melodia']","The Internet of Things (IoT) is expected to require more effective and efficient wireless communications than ever before. For this reason, techniques such as spectrum sharing and dynamic spectrum access will soon become essential components of the IoT wireless communication process. In this vision, IoT devices must be able to not only learn to autonomously extract spectrum knowledge on-the-fly from the network but also leverage such knowledge to dynamically change appropriate wireless parameters (e.g., frequency band, symbol modulation, coding rate, route selection etc) to reach the network's optimal operating point. To address the above challenges, much research has been devoted to exploring the use of machine learning to address problems in the IoT wireless communications domain. The reason behind machine learning's popularity is that it provides a general framework to solve very complex problems where a model of the phenomenon being learned is too complex to derive or too dynamic to be summarized in mathematical terms. This work provides a comprehensive survey of the state of the art in the application of machine learning techniques to address key problems in IoT wireless communications with an emphasis on its ad hoc networking aspect. First, we present extensive background notions on machine learning techniques. Then, by adopting a bottom-up approach, we examine existing work on machine learning for the IoT at the physical, data-link and network layer of the protocol stack. Thereafter, we discuss directions taken by the community towards hardware implementation to ensure the feasibility of these techniques. Finally, we provide a series of research challenges associated with the applications of machine learning techniques for IoT wireless communications.
        ? Less",https://arxiv.org/pdf/1901.07947
6,Characterization of photoexcited states in the half-filled one-dimensional extended Hubbard model assisted by machine learning,"['Kazuya Shinjo', 'Shigetoshi Sota', 'Seiji Yunoki', 'Takami Tohyama']","Photoinduced nonequilibrium states can provide new insights into the dynamical properties in strongly correlated electron systems. One of the typical and extensively studied systems is the half-filled one-dimensional extended Hubbard model (1DEHM). Here, we propose that the supervised machine learning (ML) can give useful information for characterizing the photoexcited state in 1DEHM. Using entanglement spectra as a training dataset, we construct the neural network. Judging from the trained network, we find that the quantum state driven by driving pulse has bond-spin-density wave (BSDW) order for U\lesssim2VU\lesssim2V, where UU (VV) is the on-site (nearest-neighbor) Coulomb interaction. We separately calculate the time evolution of order parameters and find that the order parameters of BSDW are actually enhanced by photoexcitation as predicted by ML. Interestingly, the enhancement of the BSDW order in the photoexcited states for the 1DEHM has never been reported previously, despite the extensive studies so far, thus demonstrating the advantage of ML to assist characterizing photoexcited quantum states.
        ? Less",https://arxiv.org/pdf/1901.07900
7,Predicting the Results of LTL Model Checking using Multiple Machine Learning Algorithms,"['Weijun Zhu', 'Mingliang Xu']","In this paper, we study how to predict the results of LTL model checking using some machine learning algorithms. Some Kripke structures and LTL formulas and their model checking results are made up data set. The approaches based on the Random Forest (RF), K-Nearest Neighbors (KNN), Decision tree (DT), and Logistic Regression (LR) are used to training and prediction. The experiment results show that the average computation efficiencies of the RF, LR, DT, and KNN-based approaches are 2066181, 2525333, 1894000 and 294 times than that of the existing approach, respectively.
        ? Less",https://arxiv.org/pdf/1901.07891
8,Micro-UAV Detection and Classification from RF Fingerprints Using Machine Learning Techniques,"['Martins Ezuma', 'Fatih Erden', 'Chethan Kumar Anjinappa', 'Ozgur Ozdemir', 'Ismail Guvenc']","This paper focuses on the detection and classification of micro-unmanned aerial vehicles (UAVs) using radio frequency (RF) fingerprints of the signals transmitted from the controller to the micro-UAV. In the detection phase, raw signals are split into frames and transformed into the wavelet domain. A Markov models-based naive Bayes approach is used to check for the presence of a UAV in each frame. In the classification phase, unlike the traditional approaches that rely solely on time-domain signals and corresponding features, the proposed technique uses the energy transient signal. This approach is more robust to noise and can cope with different modulation techniques. First, the normalized energy trajectory is generated from the energy-time-frequency distribution of the raw control signal. Next, the start and end points of the energy transient are detected by searching for the most abrupt changes in the mean of the energy trajectory. Then, a set of statistical features is extracted from the energy transient. Significant features are selected by performing neighborhood component analysis (NCA) to keep the computational cost of the algorithm low. Finally, selected features are fed to several machine learning algorithms for classification. The algorithms are evaluated experimentally using a database containing 100 RF signals from each of 14 different UAV controllers. The signals are recorded wirelessly using a high-frequency oscilloscope. The data set is randomly partitioned into training and test sets for validation with the ratio 4:1. Ten Monte Carlo simulations are run and results are averaged to assess the performance of the methods. All the micro-UAVs are detected correctly and an average accuracy of 96.3% is achieved using the k-nearest neighbor (kNN) classification. Proposed methods are also tested for different signal-to-noise ratio (SNR) levels and results are reported.
        ? Less",https://arxiv.org/pdf/1901.07703
9,What Can Machine Learning Teach Us about Communications?,"['Mengke Lian', 'Christian Häger', 'Henry D. Pfister']","Rapid improvements in machine learning over the past decade are beginning to have far-reaching effects. For communications, engineers with limited domain expertise can now use off-the-shelf learning packages to design high-performance systems based on simulations. Prior to the current revolution in machine learning, the majority of communication engineers were quite aware that system parameters (such as filter coefficients) could be learned using stochastic gradient descent. It was not at all clear, however, that more complicated parts of the system architecture could be learned as well. In this paper, we discuss the application of machine-learning techniques to two communications problems and focus on what can be learned from the resulting systems. We were pleasantly surprised that the observed gains in one example have a simple explanation that only became clear in hindsight. In essence, deep learning discovered a simple and effective strategy that had not been considered earlier.
        ? Less",https://arxiv.org/pdf/1901.07592
